Unnamed: 0,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,GFDL-CM4,1,0.0124669522047042,0.0159938316792249,0.0142153874039649,0.0181268211454153,296.6651306152344,298.3399353027344,299.3423156738281,300.2733459472656
1,GFDL-CM4,2,0.0125298518687486,0.0160521119832992,0.014280941337347,0.0181946028023958,296.7972106933594,298.40606689453125,299.47186279296875,300.3429870605469
2,GFDL-CM4,5,0.0126926358789205,0.0162083338946104,0.0144499987363815,0.0183756984770298,297.1046447753906,298.57330322265625,299.775146484375,300.5177917480469
3,GFDL-CM4,10,0.0129097970202565,0.0164367780089378,0.0146720176562666,0.0186369866132736,297.51763916015625,298.8057556152344,300.1884155273437,300.7586669921875
4,GFDL-CM4,15,0.013079916127026,0.0166381299495697,0.0148432254791259,0.0188668891787529,297.8734436035156,299.00225830078125,300.55059814453125,300.96453857421875
5,GFDL-CM4,25,0.0133090764284133,0.0169820766896009,0.0150651782751083,0.0192580074071884,298.5071105957031,299.3341369628906,301.2061462402344,301.30865478515625
6,GFDL-CM4,35,0.0134053863584995,0.0172665305435657,0.0151367001235485,0.019578306004405,299.09722900390625,299.6167297363281,301.8299865722656,301.6014709472656
7,GFDL-CM4,45,0.0133448764681816,0.0175119303166866,0.0150363631546497,0.0198524557054042,299.694091796875,299.8741455078125,302.4743347167969,301.86651611328125
8,GFDL-CM4,55,0.0130911776795983,0.0177312344312667,0.0147263286635279,0.020095806568861,300.35009765625,300.1206359863281,303.1938171386719,302.1194152832031
9,GFDL-CM4,65,0.0125526087358593,0.01793366484344,0.0141023145988583,0.0203179065138101,301.1397399902344,300.3678894042969,304.067626953125,302.3739929199219
10,GFDL-CM4,75,0.011549862101674,0.0181298032402992,0.0129950987175107,0.0205310340970754,302.2034912109375,300.6351318359375,305.24395751953125,302.6501770019531
11,GFDL-CM4,85,0.0101310946047306,0.0183261297643184,0.0116364043205976,0.0207442604005336,303.8154602050781,300.9591064453125,306.9793701171875,302.9899597167969
12,GFDL-CM4,90,0.0094735771417617,0.0184309035539627,0.0110055524855852,0.0208681020885705,304.9580383300781,301.17822265625,308.1729431152344,303.22686767578125
13,GFDL-CM4,95,0.0087452800944447,0.0185677260160446,0.0102450344711542,0.021050726994872,306.5621032714844,301.5295104980469,309.84246826171875,303.6194763183594
14,GFDL-CM4,98,0.0083006657660007,0.0187206119298934,0.0097335642203688,0.0212815981358289,308.13482666015625,302.04022216796875,311.50067138671875,304.1966552734375
15,GFDL-CM4,99,0.0080694472417235,0.0188187714666128,0.0094740567728877,0.0214411411434412,309.0185852050781,302.5256042480469,312.4493713378906,304.7204895019531
0,GFDL-ESM4,1,0.0128047047182917,0.0164786074310541,0.0141521571204066,0.0182738974690437,297.2261962890625,298.83599853515625,299.57550048828125,300.4327392578125
1,GFDL-ESM4,2,0.0128676733002066,0.0165367107838392,0.0142182782292366,0.0183384250849485,297.35894775390625,298.8995666503906,299.7076721191406,300.49737548828125
2,GFDL-ESM4,5,0.0130319716408848,0.0166924726217985,0.0143866371363401,0.0185119193047285,297.6634521484375,299.0604858398437,300.00982666015625,300.6641845703125
3,GFDL-ESM4,10,0.0132408598437905,0.0169194098562002,0.0145906070247292,0.0187638662755489,298.0665588378906,299.28289794921875,300.4164733886719,300.89166259765625
4,GFDL-ESM4,15,0.013393584638834,0.0171165540814399,0.0147367510944604,0.0189834497869014,298.4127502441406,299.4701843261719,300.7708740234375,301.0824890136719
5,GFDL-ESM4,25,0.0135895097628235,0.0174487102776765,0.0149055290967226,0.0193515233695507,299.0311279296875,299.7845458984375,301.4107360839844,301.4027099609375
6,GFDL-ESM4,35,0.0136393457651138,0.0177215170115232,0.0149094806984066,0.0196522232145071,299.61749267578125,300.0525817871094,302.0273132324219,301.6756286621094
7,GFDL-ESM4,45,0.0135261500254273,0.0179549138993024,0.0147388419136404,0.0199059601873159,300.2265014648437,300.29815673828125,302.6762084960937,301.9216613769531
8,GFDL-ESM4,55,0.0132114738225936,0.0181611012667417,0.0143492547795176,0.020123990252614,300.9094543457031,300.5330810546875,303.4136657714844,302.1553649902344
9,GFDL-ESM4,65,0.0126083567738533,0.0183485429733991,0.0136631000787019,0.0203175786882638,301.7437438964844,300.7681884765625,304.319580078125,302.3893127441406
10,GFDL-ESM4,75,0.0116198258474469,0.0185261145234107,0.0126241147518157,0.0204964913427829,302.8605651855469,301.0204772949219,305.5300598144531,302.6414794921875
11,GFDL-ESM4,85,0.0104704340919852,0.0187065843492746,0.0115421274676918,0.0206735432147979,304.47515869140625,301.3285522460937,307.2447204589844,302.9533996582031
12,GFDL-ESM4,90,0.0099036004394292,0.0188065618276596,0.0109750162810087,0.0207760278135538,305.5819396972656,301.53961181640625,308.408935546875,303.1717834472656
13,GFDL-ESM4,95,0.0092541296035051,0.0189408101141452,0.0103453043848276,0.0209290273487567,307.1210632324219,301.8808898925781,310.0191650390625,303.5367431640625
14,GFDL-ESM4,98,0.00877580139786,0.0190895777195692,0.0098552415147423,0.0211362093687057,308.6439514160156,302.3758544921875,311.5986633300781,304.08087158203125
15,GFDL-ESM4,99,0.008501143194735,0.0191814918071031,0.0095277298241853,0.0212812107056379,309.53936767578125,302.8504943847656,312.5317687988281,304.5827331542969
0,HadGEM3-GC31-LL,1,0.0131511092185974,0.0162101034075021,0.0154718020930886,0.0191755630075931,298.2499694824219,299.2726135253906,302.207275390625,301.9307556152344
1,HadGEM3-GC31-LL,2,0.0132248820737004,0.0162610076367855,0.0155510390177369,0.0192366614937782,298.37371826171875,299.3359680175781,302.3313293457031,301.9936218261719
2,HadGEM3-GC31-LL,5,0.0134297274053096,0.0163989644497632,0.0157688092440366,0.0194003190845251,298.6565856933594,299.4988098144531,302.61541748046875,302.15631103515625
3,HadGEM3-GC31-LL,10,0.0136969471350312,0.0166014526039361,0.0160430930554866,0.0196377746760845,299.028076171875,299.7211303710937,302.99468994140625,302.3815002441406
4,HadGEM3-GC31-LL,15,0.0138820568099617,0.0167772211134433,0.0162195954471826,0.0198451317846775,299.3471984863281,299.9086303710937,303.3245849609375,302.5726013183594
5,HadGEM3-GC31-LL,25,0.0141195207834243,0.0170727651566267,0.0164176970720291,0.0201958678662776,299.9144287109375,300.22491455078125,303.9197082519531,302.8948974609375
6,HadGEM3-GC31-LL,35,0.0142318233847618,0.0173131097108125,0.0164521858096122,0.0204815063625574,300.43133544921875,300.4950256347656,304.47320556640625,303.167236328125
7,HadGEM3-GC31-LL,45,0.0141433114185929,0.0175122562795877,0.0162710323929786,0.0207136031240224,300.93768310546875,300.74273681640625,305.0316162109375,303.4139709472656
8,HadGEM3-GC31-LL,55,0.0138262892141938,0.0176856704056262,0.0159027893096208,0.0209103785455226,301.4814758300781,300.985107421875,305.6415405273437,303.6530456542969
9,HadGEM3-GC31-LL,65,0.0132545605301857,0.0178442485630512,0.0153335127979516,0.0210861898958683,302.11480712890625,301.23492431640625,306.3472595214844,303.90118408203125
10,HadGEM3-GC31-LL,75,0.0123072480782866,0.0179943814873695,0.0144874807447195,0.0212514344602823,302.9178466796875,301.5087585449219,307.21612548828125,304.1788330078125
11,HadGEM3-GC31-LL,85,0.0107989618554711,0.0181464087218046,0.0131589770317077,0.0214164834469556,304.0619812011719,301.85009765625,308.38409423828125,304.5340881347656
12,HadGEM3-GC31-LL,90,0.0097895562648773,0.0182378068566322,0.0121545130386948,0.0215182974934577,304.8815612792969,302.0895690917969,309.1878356933594,304.7879943847656
13,HadGEM3-GC31-LL,95,0.0083494614809751,0.0183879844844341,0.0105868242681026,0.0216904319822788,306.07720947265625,302.4825134277344,310.3514709472656,305.2106628417969
14,HadGEM3-GC31-LL,98,0.0068616108037531,0.0185977350920438,0.0087568182498216,0.0219198763370513,307.3259582519531,303.0431823730469,311.5902404785156,305.8146667480469
15,HadGEM3-GC31-LL,99,0.0058701056987047,0.0187116805464029,0.0075885532423853,0.0220385901629924,308.1075134277344,303.5458374023437,312.380859375,306.35040283203125
0,INM-CM4-8,1,0.0137055814266204,0.0157617703080177,0.0151922721415758,0.0171698871999979,297.1512145996094,298.5613708496094,298.95489501953125,299.9201965332031
1,INM-CM4-8,2,0.0137793142348527,0.0158096197992563,0.0152675919234752,0.0172216836363077,297.2591552734375,298.6205749511719,299.0597229003906,299.9807434082031
2,INM-CM4-8,5,0.0139831351116299,0.0159270446747541,0.015477611683309,0.0173488873988389,297.5226135253906,298.7694396972656,299.3143310546875,300.1322021484375
3,INM-CM4-8,10,0.0142697682604193,0.0160820856690406,0.0157426092773675,0.0175138637423515,297.8602600097656,298.9730224609375,299.6402282714844,300.3375549316406
4,INM-CM4-8,15,0.0144723076373338,0.0162136182188987,0.0159121099859476,0.0176502950489521,298.1382751464844,299.14501953125,299.9117126464844,300.5102844238281
5,INM-CM4-8,25,0.0147543288767337,0.0164248552173376,0.0161291137337684,0.0178704503923654,298.61749267578125,299.4207763671875,300.38800048828125,300.7896728515625
6,INM-CM4-8,35,0.0148940561339259,0.016574265435338,0.0161932334303855,0.0180261600762605,299.0574035644531,299.6409606933594,300.837646484375,301.01025390625
7,INM-CM4-8,45,0.0148614374920725,0.0166856497526168,0.0160808004438877,0.0181385818868875,299.5081481933594,299.8367004394531,301.3142395019531,301.2065124511719
8,INM-CM4-8,55,0.0146486414596438,0.0167749617248773,0.0157818458974361,0.0182269401848316,300.02203369140625,300.02734375,301.87017822265625,301.3983764648437
9,INM-CM4-8,65,0.014220175333321,0.0168519243597984,0.0152364363893866,0.0182989817112684,300.6640625,300.2275695800781,302.5771179199219,301.59991455078125
