model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop,experiment,inspan
EC-Earth3,ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200601-200612.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200601-200612.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200601-200612.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gr,mon,2006,2006,4x,True
EC-Earth3,ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200701-200712.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200701-200712.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200701-200712.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gr,mon,2007,2007,4x,True
EC-Earth3,ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200801-200812.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200801-200812.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200801-200812.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gr,mon,2008,2008,4x,True
EC-Earth3,ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200901-200912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200901-200912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r3i1p1f1/Amon/ps/gr/v20210523/ps_Amon_EC-Earth3_abrupt-4xCO2_r3i1p1f1_gr_200901-200912.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gr,mon,2009,2009,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2736,2736,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2737,2737,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2738,2738,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2739,2739,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2740,2740,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2741,2741,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2742,2742,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2743,2743,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2744,2744,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2745,2745,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2746,2746,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2747,2747,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27480101-27481231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27480101-27481231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27480101-27481231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2748,2748,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27490101-27491231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27490101-27491231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27490101-27491231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2749,2749,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27500101-27501231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27500101-27501231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27500101-27501231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2750,2750,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27510101-27511231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27510101-27511231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27510101-27511231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2751,2751,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27520101-27521231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27520101-27521231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27520101-27521231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2752,2752,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27530101-27531231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27530101-27531231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27530101-27531231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2753,2753,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27540101-27541231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27540101-27541231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27540101-27541231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2754,2754,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27550101-27551231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27550101-27551231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27550101-27551231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2755,2755,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27560101-27561231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27560101-27561231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27560101-27561231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2756,2756,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27570101-27571231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27570101-27571231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27570101-27571231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2757,2757,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27580101-27581231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27580101-27581231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27580101-27581231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2758,2758,4x,True
EC-Earth3,tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27590101-27591231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27590101-27591231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/v20200312/tas_day_EC-Earth3_piControl_r1i1p1f1_gr_27590101-27591231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2759,2759,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27360101-27361231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2736,2736,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27370101-27371231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2737,2737,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27380101-27381231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2738,2738,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27390101-27391231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2739,2739,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27400101-27401231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2740,2740,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27410101-27411231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2741,2741,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27420101-27421231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2742,2742,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27430101-27431231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2743,2743,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27440101-27441231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2744,2744,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27450101-27451231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2745,2745,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27460101-27461231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2746,2746,4x,True
EC-Earth3,huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/huss/gr/v20200312/huss_day_EC-Earth3_piControl_r1i1p1f1_gr_27470101-27471231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2747,2747,4x,True
