,model,percentile,alpha_O,alpha_L
199,KACE-1-0-G,45,0.06526891,0.0662988172333074
200,KACE-1-0-G,55,0.06526891,0.0660881348837279
201,KACE-1-0-G,65,0.06526891,0.0658705976822804
202,KACE-1-0-G,75,0.06526891,0.0656194961595444
203,KACE-1-0-G,85,0.06526891,0.0652973266598443
204,KACE-1-0-G,90,0.06526891,0.0650805964352783
205,KACE-1-0-G,95,0.06526891,0.0647669380237083
206,KACE-1-0-G,98,0.06526891,0.0644600762859878
207,KACE-1-0-G,99,0.06526891,0.0642834254434449
208,MIROC-ES2L,1,0.064108685,0.066523471559073
209,MIROC-ES2L,2,0.064108685,0.0665158240733317
210,MIROC-ES2L,5,0.064108685,0.0664589193648778
211,MIROC-ES2L,10,0.064108685,0.0663834399828401
212,MIROC-ES2L,15,0.064108685,0.0663013634922279
213,MIROC-ES2L,25,0.064108685,0.0661418150726294
214,MIROC-ES2L,35,0.064108685,0.0659669521572593
215,MIROC-ES2L,45,0.064108685,0.0657681575899258
216,MIROC-ES2L,55,0.064108685,0.065536998120636
217,MIROC-ES2L,65,0.064108685,0.0652198665101905
218,MIROC-ES2L,75,0.064108685,0.0647843035519382
219,MIROC-ES2L,85,0.064108685,0.0642386787178823
220,MIROC-ES2L,90,0.064108685,0.0638942265260898
221,MIROC-ES2L,95,0.064108685,0.0634277140809098
222,MIROC-ES2L,98,0.064108685,0.0629455635994817
223,MIROC-ES2L,99,0.064108685,0.062622211039171
224,MPI-ESM1-2-LR,1,0.06398433,0.0657134580452483
225,MPI-ESM1-2-LR,2,0.06398433,0.0657905443351089
226,MPI-ESM1-2-LR,5,0.06398433,0.0658662048886747
227,MPI-ESM1-2-LR,10,0.06398433,0.0658485797477437
228,MPI-ESM1-2-LR,15,0.06398433,0.0657931888608983
229,MPI-ESM1-2-LR,25,0.06398433,0.0656746110182784
230,MPI-ESM1-2-LR,35,0.06398433,0.0654715917794661
231,MPI-ESM1-2-LR,45,0.06398433,0.0652123307402248
232,MPI-ESM1-2-LR,55,0.06398433,0.0648822676561603
233,MPI-ESM1-2-LR,65,0.06398433,0.06446262817767
234,MPI-ESM1-2-LR,75,0.06398433,0.0639167730519528
235,MPI-ESM1-2-LR,85,0.06398433,0.063227477727686
236,MPI-ESM1-2-LR,90,0.06398433,0.0628108617772705
237,MPI-ESM1-2-LR,95,0.06398433,0.0622801566694002
238,MPI-ESM1-2-LR,98,0.06398433,0.0617816097989657
239,MPI-ESM1-2-LR,99,0.06398433,0.0614919626904488
240,MRI-ESM2-0,1,0.06447816,0.0672865620257805
241,MRI-ESM2-0,2,0.06447816,0.0672400857534837
242,MRI-ESM2-0,5,0.06447816,0.067174253461844
